source,class,covered,missed,percent,passed
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$Request,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$Services,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkService.java,org/openmetadata/service/entity/bulk/EntityBulkService$SingleCreate,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService,177,12,93.65079365079364,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Boundary,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Effects,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Original,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Persistence,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Preparation,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Request,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Results,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityBulkUpdateService.java,org/openmetadata/service/entity/bulk/EntityBulkUpdateService$Snapshot,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityCsvChangeLog.java,org/openmetadata/service/entity/bulk/EntityCsvChangeLog,33,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityCsvChangeLog.java,org/openmetadata/service/entity/bulk/EntityCsvChangeLog$Boundary,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityCsvChangeLog.java,org/openmetadata/service/entity/bulk/EntityCsvChangeLog$Persistence,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityCsvChangeLog.java,org/openmetadata/service/entity/bulk/EntityCsvChangeLog$Preparation,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityStaleDeletion.java,org/openmetadata/service/entity/bulk/EntityStaleDeletion,54,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityStaleDeletion.java,org/openmetadata/service/entity/bulk/EntityStaleDeletion$Delete,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityStaleDeletion.java,org/openmetadata/service/entity/bulk/EntityStaleDeletion$Options,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityStaleDeletion.java,org/openmetadata/service/entity/bulk/EntityStaleDeletion$Outcome,18,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/EntityStaleDeletion.java,org/openmetadata/service/entity/bulk/EntityStaleDeletion$Scopes,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/StaleEntityPlanner.java,org/openmetadata/service/entity/bulk/StaleEntityPlanner,27,2,93.10344827586206,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/bulk/StaleEntityPlanner.java,org/openmetadata/service/entity/bulk/StaleEntityPlanner$Candidate,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/CacheBundleLayers.java,org/openmetadata/service/entity/cache/CacheBundleLayers,10,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheEpochs.java,org/openmetadata/service/entity/cache/EntityCacheEpochs,34,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheInvalidation.java,org/openmetadata/service/entity/cache/EntityCacheInvalidation,76,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheInvalidation.java,org/openmetadata/service/entity/cache/EntityCacheInvalidation$Effects,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheInvalidation.java,org/openmetadata/service/entity/cache/EntityCacheInvalidation$Repair,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheKeys.java,org/openmetadata/service/entity/cache/EntityCacheKeys,3,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheLayers.java,org/openmetadata/service/entity/cache/EntityCacheLayers,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheLoaders.java,org/openmetadata/service/entity/cache/EntityCacheLoaders,11,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheLoaders.java,org/openmetadata/service/entity/cache/EntityCacheLoaders$EntityLoaderWithId,58,2,96.66666666666667,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheLoaders.java,org/openmetadata/service/entity/cache/EntityCacheLoaders$EntityLoaderWithName,66,6,91.66666666666667,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheLoaders.java,org/openmetadata/service/entity/cache/EntityCacheLoaders$LoaderRaceException,2,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCachePolicy.java,org/openmetadata/service/entity/cache/EntityCachePolicy,3,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheRepair.java,org/openmetadata/service/entity/cache/EntityCacheRepair,51,5,91.07142857142857,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheRepair.java,org/openmetadata/service/entity/cache/EntityCacheRepair$RepairRequest,2,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheSource.java,org/openmetadata/service/entity/cache/EntityCacheSource,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheTargets.java,org/openmetadata/service/entity/cache/EntityCacheTargets,65,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheTargets.java,org/openmetadata/service/entity/cache/EntityCacheTargets$Descendants,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheTargets.java,org/openmetadata/service/entity/cache/EntityCacheTargets$SearchDeferral,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCacheTargets.java,org/openmetadata/service/entity/cache/EntityCacheTargets$TaggedPage,0,0,,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCaches.java,org/openmetadata/service/entity/cache/EntityCaches,28,1,96.55172413793103,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityCaches.java,org/openmetadata/service/entity/cache/EntityCaches$1,4,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityLocalCache.java,org/openmetadata/service/entity/cache/EntityLocalCache,19,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntityLocalCache.java,org/openmetadata/service/entity/cache/EntityLocalCache$Caches,1,0,100.0,True
openmetadata-service/src/main/java/org/openmetadata/service/entity/cache/EntitySharedCacheInvalidation.java,org/openmetadata/service/entity/cache/EntitySharedCacheInvalidation,58,0,100.0,True
